name     ,alt_name   ,ra         ,dec        ,vmag,bv_color,helio_distance,metallicity,radial_velocity,radial_velocity_error,central_sigma_v,central_sigma_v_error,half_light_radius,,rhalf,MV
NGC 6535 ,           ,18 03 50.51,-00 17 51.5,10.47,0.94,6.8,-1.79,-215.1,0.5,2.4,0.5,0.85,0.000123627,1.681332417,-3.692544564
Pal 5    ,           ,15 16 05.25,-00 06 41.8,11.75,        ,23.2,-1.41,-58.7,0.2,1.1,0.2,2.73,0.000397062,18.42367905,-5.077439924
Pal 3    ,           ,10 05 31.90,+00 04 18.0,14.26,        ,92.5,-1.63,83.4,8.4,               ,                     ,0.65,9.45386E-05,17.48963872,-5.570708664
NGC 6760 ,           ,19 11 12.01,+01 01 49.7,8.88,1.66,7.4,-0.4,-27.5,6.3,               ,                     ,1.27,0.000184714,2.733765045,-5.466158599
NGC 6749 ,           ,19 05 15.30,+01 54 03.0,12.44,2.14,7.9,-1.6,-61.7,2.9,               ,                     ,1.1,0.000159988,2.527816377,-2.048135456
NGC 5904 ,M 5        ,15 18 33.22,+02 04 51.7,5.65,0.72,7.5,-1.29,53.2,0.4,5.5,0.4,1.77,0.000257436,3.861537623,-8.725306317
NGC 6426 ,           ,17 44 54.65,+03 10 12.5,11.01,1.02,20.6,-2.15,-162,23,               ,                     ,0.92,0.000133808,5.512908641,-5.559336102
NGC 6934 ,           ,20 34 11.37,+07 24 16.1,8.83,0.77,15.6,-1.47,-411.4,1.6,5.1,1.1,0.69,0.000100356,3.131118023,-7.135622992
NGC 7078 ,M 15       ,21 29 58.33,+12 10 01.2,6.2,0.68,10.4,-2.37,-107,0.2,13.5,0.9,1,0.000145444,3.025234793,-8.885166696
Ko 1     ,           ,11 59 18.50,+12 15 36.0,17.1,        ,48.3,           ,               ,                     ,               ,                     ,0.26,3.78154E-05,3.652971037,-1.319735654
Pal 13   ,           ,23 06 44.44,+12 46 19.2,13.47,0.76,26,-1.88,25.2,0.3,0.9,0.3,0.36,5.23598E-05,2.722711331,-3.60486674
Pal 14   ,AvdB       ,16 11 00.60,+14 57 28.0,14.74,        ,76.5,-1.62,72.3,0.2,0.4,0.1,1.22,0.000177442,27.1485733,-4.678307176
NGC 7006 ,           ,21 01 29.38,+16 11 14.4,10.56,0.75,41.2,-1.52,-384.1,0.4,               ,                     ,0.44,6.39954E-05,5.273216985,-7.51448608
